date,jaccard_similarity
2021-04-01,0.8895055899373094
2021-05-01,0.8914697412864249
2021-06-01,0.8910251283330687
2021-07-01,0.8924614149384974
2021-08-01,0.8940331131506138
2021-09-01,0.896644889669904
2021-10-01,0.8947189661445143
2021-11-01,0.8948473257735343
2021-12-01,0.8976239462108859
2022-01-01,0.8969892817189538
2022-02-01,0.8977640754147517
2022-03-01,0.8962725241629823
2022-04-01,0.8972362606666374
2022-05-01,0.8882292199501776
2022-06-01,0.8957167877636677
2022-07-01,0.8977341166700749
2022-08-01,0.8968775580789032
2022-09-01,0.8948133126223546
2022-10-01,0.8939110034032443
2022-11-01,0.8933539473673293
2022-12-01,0.8941778458690264
2023-01-01,0.8934154046886142
2023-02-01,0.8921355964073794
